Location,latitude,longitude,Year,Month,Day,Hour,Temperature,Dew_point,Gust,Precip_1h,Precip_total
Kathmandu,27.7038250,85.3562472,2017,JAN,01,12,10.1,6.2,0,0,0
Kathmandu,27.7038250,85.3562472,2017,JAN,01,13,11.3,5.6,8,0,0
Kathmandu,27.7038250,85.3562472,2017,JAN,01,14,11.5,5,1.9,0,0
Kathmandu,27.7038250,85.3562472,2017,JAN,01,15,11,4.5,1.6,0,0
Kathmandu,27.7038250,85.3562472,2017,JAN,01,16,10.7,4,1.3,0,0
Kathmandu,27.7038250,85.3562472,2017,JAN,01,17,10.5,3.8,0.9,0,0
Kathmandu,27.7038250,85.3562472,2017,JAN,01,18,10.4,3.5,1.1,0,0
Kathmandu,27.7038250,85.3562472,2017,JAN,01,19,10.3,3.1,1.4,0,0
Kathmandu,27.7038250,85.3562472,2017,JAN,01,20,9.9,3,1.2,0,0
Kathmandu,27.7038250,85.3562472,2017,JAN,01,21,9.8,3.1,0.9,0,0
Kathmandu,27.7038250,85.3562472,2017,JAN,01,22,9.7,2.6,1.2,0,0
Kathmandu,27.7038250,85.3562472,2017,JAN,01,23,9.5,2.5,1.1,0,0
Kathmandu,27.7038250,85.3562472,2017,JAN,02,00,9.2,2.8,0.8,0,0
Kathmandu,27.7038250,85.3562472,2017,JAN,02,01,9.2,2.6,0.7,0,0
Kathmandu,27.7038250,85.3562472,2017,JAN,02,02,10.2,2.7,0.9,0,0
Kathmandu,27.7038250,85.3562472,2017,JAN,02,03,11.8,3.6,1.6,0,0
Kathmandu,27.7038250,85.3562472,2017,JAN,02,04,14,4,1.8,0,0
Kathmandu,27.7038250,85.3562472,2017,JAN,02,05,15.6,3.8,2.3,0,0
Kathmandu,27.7038250,85.3562472,2017,JAN,02,06,16.5,4.4,4,0,0
Kathmandu,27.7038250,85.3562472,2017,JAN,02,07,16.3,0.4,8.7,0,0
Kathmandu,27.7038250,85.3562472,2017,JAN,02,08,16.2,-1.9,9.2,0,0
Kathmandu,27.7038250,85.3562472,2017,JAN,02,09,15.8,1.6,6.5,0,0
